 Date__(UT)__HR:MN     R.A._____(ICRF)_____DEC             delta      deldot  1-way_down_LT
*******************************************************************************************
$$SOE
 2014-Aug-15 00:00     20 46 05.82 -16 54 09.7  0.01042978516520  -0.0522255     0.08674188
 2014-Aug-16 00:00     20 49 18.31 -16 28 30.9  0.01039920431919  -0.0535667     0.08648755
 2014-Aug-17 00:00     20 52 31.38 -16 02 33.6  0.01036802472599  -0.0543078     0.08622823
 2014-Aug-18 00:00     20 55 45.15 -15 36 17.5  0.01033657556915  -0.0545117     0.08596668
 2014-Aug-19 00:00     20 58 59.84 -15 09 42.2  0.01030514646437  -0.0542507     0.08570529
 2014-Aug-20 00:00     21 02 15.68 -14 42 47.2  0.01027398475072  -0.0535979     0.08544613
 2014-Aug-21 00:00     21 05 32.98 -14 15 31.8  0.01024329608200  -0.0526240     0.08519090
 2014-Aug-22 00:00     21 08 51.64 -13 47 57.8  0.01021376453666  -0.0503591     0.08494529
 2014-Aug-23 00:00     21 12 12.07 -13 20 05.1  0.01018582799738  -0.0474466     0.08471295
 2014-Aug-24 00:00     21 15 34.90 -12 51 50.9  0.01015885618559  -0.0459363     0.08448863
 2014-Aug-25 00:00     21 19 00.55 -12 23 14.1  0.01013277833922  -0.0443615     0.08427175
 2014-Aug-26 00:00     21 22 29.40 -11 54 13.8  0.01010761331165  -0.0427859     0.08406246
 2014-Aug-27 00:00     21 26 01.81 -11 24 49.4  0.01008334335461  -0.0412726     0.08386061
 2014-Aug-28 00:00     21 29 38.14 -10 54 59.9  0.01005991438802  -0.0398839     0.08366576
 2014-Aug-29 00:00     21 33 18.72 -10 24 44.9  0.01003723679644  -0.0386806     0.08347715
 2014-Aug-30 00:00     21 37 03.84 -09 54 03.6  0.01001518652397  -0.0377212     0.08329377
 2014-Aug-31 00:00     21 40 53.77 -09 22 55.5  0.00999360643712  -0.0370616     0.08311429
 2014-Sep-01 00:00     21 44 48.71 -08 51 20.2  0.00997230794986  -0.0367545     0.08293716
 2014-Sep-02 00:00     21 48 48.80 -08 19 17.8  0.00995107332264  -0.0368478     0.08276055
 2014-Sep-03 00:00     21 52 54.11 -07 46 48.1  0.00992965959283  -0.0373801     0.08258246
 2014-Sep-04 00:00     21 57 04.63 -07 13 51.8  0.00990780578319  -0.0383735     0.08240071
 2014-Sep-05 00:00     22 01 20.23 -06 40 29.6  0.00988524556807  -0.0398223     0.08221308
 2014-Sep-06 00:00     22 05 40.71 -06 06 43.0  0.00986172736719  -0.0416788     0.08201749
 2014-Sep-07 00:00     22 10 05.71 -05 32 33.9  0.00983704212781  -0.0438419     0.08181218
 2014-Sep-08 00:00     22 14 34.81 -04 58 04.8  0.00981105549461  -0.0461551     0.08159606
 2014-Sep-09 00:00     22 19 07.54 -04 23 18.6  0.00978373643359  -0.0484213     0.08136885
 2014-Sep-10 00:00     22 23 43.40 -03 48 18.3  0.00975521748762  -0.0503376     0.08113167
 2014-Sep-11 00:00     22 28 21.93 -03 13 07.4  0.00972566208686  -0.0519253     0.08088587
 2014-Sep-12 00:00     22 33 02.75 -02 37 49.0  0.00969534308342  -0.0529673     0.08063371
 2014-Sep-13 00:00     22 37 45.57 -02 02 26.2  0.00966459498301  -0.0534065     0.08037799
 2014-Sep-14 00:00     22 42 30.21 -01 27 01.7  0.00963376964351  -0.0532374     0.08012162
 2014-Sep-15 00:00     22 47 16.59 -00 51 37.8  0.00960321119839  -0.0524892     0.07986747
 2014-Sep-16 00:00     22 52 04.69 -00 16 16.6  0.00957324101750  -0.0512091     0.07961822
 2014-Sep-17 00:00     22 56 54.56 +00 18 59.8  0.00954415091460  -0.0494506     0.07937628
 2014-Sep-18 00:00     23 01 46.31 +00 54 09.8  0.00951620189041  -0.0472663     0.07914384
 2014-Sep-19 00:00     23 06 40.06 +01 29 11.8  0.00948962546897  -0.0447054     0.07892281
 2014-Sep-20 00:00     23 11 35.97 +02 04 04.1  0.00946462571388  -0.0418140     0.07871489
